Attributes,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume
Symbols,DIA,IBB,IHE,IVV,IYC,IYE,IYF,IYH,IYJ,IYW,IYZ,QQQ,RTH,SMH,SPY,XLB,XLE,XLF,XLI,XLK,XLP,XLV,XLY,DIA,IBB,IHE,IVV,IYC,IYE,IYF,IYH,IYJ,IYW,IYZ,QQQ,RTH,SMH,SPY,XLB,XLE,XLF,XLI,XLK,XLP,XLV,XLY,DIA,IBB,IHE,IVV,IYC,IYE,IYF,IYH,IYJ,IYW,IYZ,QQQ,RTH,SMH,SPY,XLB,XLE,XLF,XLI,XLK,XLP,XLV,XLY,DIA,IBB,IHE,IVV,IYC,IYE,IYF,IYH,IYJ,IYW,IYZ,QQQ,RTH,SMH,SPY,XLB,XLE,XLF,XLI,XLK,XLP,XLV,XLY,DIA,IBB,IHE,IVV,IYC,IYE,IYF,IYH,IYJ,IYW,IYZ,QQQ,RTH,SMH,SPY,XLB,XLE,XLF,XLI,XLK,XLP,XLV,XLY
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-09,151.1186,81.4763,122.8761,176.8616,118.0155,48.3845,76.3183,116.5669,97.8799,90.6144,26.3763,88.389,56.5162,44.3999,176.9272,44.945,84.1826,16.8893,49.9316,35.179,39.5248,55.7389,62.363,151.5296,82.6329,123.1084,177.5004,118.3865,48.6835,76.7301,116.8813,98.9416,91.1165,26.5716,88.5127,56.5162,44.7435,177.5612,45.0899,84.6429,16.9781,50.4103,35.2986,39.6474,55.7853,62.6331,151.0292,81.4763,122.2232,176.6997,117.6635,48.3143,76.3183,116.2246,97.7961,90.567,26.3408,88.051,56.1062,44.3999,176.7642,44.8272,83.9916,16.8745,49.8684,35.1146,39.4898,55.3866,62.2513,151.2258,81.9654,122.7455,177.0866,117.9489,48.4373,76.6203,116.5021,98.5272,90.8797,26.4828,88.2938,56.1715,44.4464,177.1355,44.9087,84.2,16.9559,50.2026,35.2434,39.5511,55.4978,62.3351,2713344,4217394,14799,3010607,53758,3954520,557267,1386618,6442430,1815441,625850,23402469,10872,2730288,65118828,7319763,5652005,32282964,11160310,6392010,6310416,5533449,2568708
2014-06-10,151.1454,81.9555,122.8854,176.8437,117.5874,48.3669,76.3366,116.1876,98.4201,90.7565,26.4828,88.2176,56.069,44.5114,176.9091,44.8091,84.2087,16.9115,50.0852,35.2434,39.4372,55.5071,62.1954,151.342,82.59,123.0347,177.1136,117.7016,48.4667,76.5288,116.8536,98.4201,91.1406,26.5183,88.4937,56.0876,44.7528,177.1898,44.9812,84.2782,16.9485,50.1845,35.3032,39.5931,55.6833,62.3258,150.8684,81.2494,121.99,176.4658,117.3686,48.2526,76.2945,115.7807,97.9637,90.7565,26.332,88.1129,55.9758,44.335,176.5377,44.6461,83.8483,16.8819,49.8774,35.1882,39.4197,55.1362,62.1209,151.3241,82.3851,123.0067,177.0506,117.5684,48.3845,76.5105,116.8444,98.3176,91.0786,26.3675,88.4461,55.9944,44.6692,177.1536,44.9721,84.0611,16.9485,50.0852,35.2618,39.5511,55.6833,62.214,2822680,4107003,83630,2551443,14269,488274,203196,234618,1395921,248560,77442,20635286,7983,1461436,57129440,2658451,3766080,21570110,3846763,3594667,4362014,6922426,5461647
2014-06-11,150.7879,81.7407,122.7082,176.4208,117.283,48.279,76.2634,116.5114,97.8799,90.6523,26.2698,88.1415,55.9479,44.6878,176.5196,44.8272,83.8092,16.8819,49.9226,35.1146,39.4722,55.4515,62.0371,150.8416,82.818,123.3891,176.6367,117.5684,48.6483,76.2634,116.9553,97.9265,91.1108,26.2787,88.5508,55.9479,44.892,176.7189,44.9178,84.4953,16.8893,49.9226,35.271,39.5511,55.6972,62.1628,150.1982,81.5259,122.7082,176.07,117.0357,48.1559,75.8424,116.4189,97.4701,90.6523,26.0884,88.0558,55.7056,44.6042,176.1392,44.6371,83.6269,16.7856,49.6246,35.087,39.3847,55.4236,61.8043,150.4304,82.2959,123.3612,176.4838,117.264,48.578,76.0346,116.7796,97.6564,90.9176,26.2077,88.4271,55.7615,44.7435,176.5377,44.7186,84.3824,16.8375,49.7149,35.179,39.446,55.6184,62.0278,3065888,3846312,30371,1772666,21731,306430,263516,98387,2539273,123003,58150,22884331,6287,1367633,68772479,2347535,5651668,20569491,5541534,4254852,4977887,5901164,3027907
2014-06-12,150.3769,81.7936,122.988,176.2319,116.9995,48.8066,75.9614,116.7334,97.4422,90.8702,26.1456,88.2367,55.6497,44.4835,176.2932,44.7186,84.7558,16.8301,49.6517,35.1974,39.3672,55.4978,62.0278,150.4216,82.699,123.4265,176.3668,116.9995,49.0792,76.0437,116.7611,97.4888,90.9513,26.1456,88.3319,55.6963,44.9106,176.429,44.8001,85.2247,16.8375,49.6517,35.3078,39.446,55.6091,62.0278,149.2063,81.5265,122.2891,174.8194,115.5041,48.6835,75.4855,115.9564,96.4084,89.7997,25.8793,87.3228,54.9053,44.4742,174.8984,44.2341,84.5039,16.7042,48.9563,34.765,39.0913,55.2104,61.0966,149.4833,81.8993,122.6616,175.1883,115.6944,48.7539,75.6411,116.2246,96.5761,90.1028,26.0302,87.6274,54.9696,44.6414,175.2879,44.3382,84.6603,16.7338,49.0466,34.8754,39.1657,55.3402,61.2362,5416016,2778855,10856,3713907,28348,281647,85627,61244,262753,433095,156101,35275853,192039,1875959,106350200,3401267,11869815,30051846,10181692,4818001,5186259,4305324,4549638
2014-06-13,149.7067,82.0381,122.4657,175.5482,115.9037,48.8946,75.7051,116.3171,96.6413,90.5291,26.0746,88.0272,54.923,45.3841,175.6139,44.3563,84.886,16.7782,49.0827,35.087,39.2183,55.3866,61.2549,149.9659,82.2562,123.0906,175.899,115.9607,49.2463,75.8973,116.3652,97.0697,90.8797,26.456,88.1034,54.9696,45.477,175.9943,44.5646,85.4766,16.8152,49.3446,35.1422,39.227,55.4329,61.4132,149.3404,81.0203,122.0846,174.9904,115.2758,48.622,75.5038,115.7437,96.4643,90.2449,25.7728,87.5037,54.8019,45.0685,175.0705,44.2477,84.3824,16.6894,49.0105,34.9306,39.0685,55.1455,60.8964,149.7782,81.82,122.8854,175.7551,115.7895,49.2463,75.6411,116.1506,96.9113,90.7091,26.3941,87.8844,54.9044,45.3656,175.8222,44.5103,85.4679,16.7412,49.2182,35.0778,39.157,55.2938,61.2642,2709149,2871729,10586,2803221,23802,395513,88617,92896,140062,149763,81829,39449997,7170,1124251,82017278,2446924,9737216,27967940,6885595,7331675,1936733,2950920,4962813
2014-06-16,149.5727,81.7671,122.5869,175.5392,115.6753,49.3079,75.4031,116.5576,96.6506,90.4533,26.4917,87.7321,54.8112,45.282,175.6049,44.3926,85.7718,16.7116,49.2092,35.0134,39.1482,55.5442,61.05,150.091,82.7618,123.4003,176.2545,116.0368,49.5757,75.5129,117.2699,96.9765,90.9744,26.5361,88.2176,55.0534,45.6627,176.3385,44.5011,86.1713,16.7116,49.2814,35.179,39.3409,55.8224,61.469,149.3583,81.3606,122.4004,175.3143,115.5422,49.2639,75.1194,115.9287,96.3898,90.3586,26.119,87.5417,54.8112,45.2542,175.3966,44.1933,85.6155,16.6153,48.9924,34.9582,39.0343,55.2196,61.05,149.8408,82.1174,123.2679,175.917,116.0273,49.4838,75.339,116.3911,96.7344,90.8228,26.3142,87.9606,55.0441,45.5513,175.9671,44.4107,85.9802,16.6598,49.164,35.0778,39.3058,55.4051,61.4039,3068347,2997327,9279,1352627,27988,4073059,665901,1588344,2044783,2138394,109393,25218557,15539,906208,87424332,7960917,13386921,33904442,6861412,7065464,18205169,9021662,3553048
2014-06-17,149.6084,81.8134,123.0627,175.6291,116.2556,49.3431,75.2841,116.2801,96.5388,90.8039,26.261,87.9035,54.9975,45.5513,175.7226,44.1209,85.8065,16.6375,49.1369,35.0502,39.3672,55.4236,61.4318,150.2965,82.4214,124.3252,176.5018,116.6075,49.4292,76.0894,116.6344,97.2187,91.3439,26.5272,88.2462,55.3143,45.8205,176.583,44.5918,85.9368,16.8449,49.3898,35.225,39.3672,55.5164,61.7112,149.4387,81.44,122.9694,175.4672,115.8941,49.1408,75.1926,116.0396,96.3898,90.5955,26.1633,87.7512,54.9975,45.477,175.5324,44.1028,85.3723,16.6301,48.9924,35.0134,39.1718,55.2104,61.2642,150.1178,81.8795,124.0141,176.3309,116.4649,49.4046,75.9888,116.3356,96.9859,91.1544,26.4118,88.0082,55.2025,45.7462,176.4562,44.5012,85.9194,16.8301,49.2995,35.1606,39.3058,55.3773,61.646,2886201,2127657,21644,1714527,20345,538013,78353,146590,233602,240709,126189,19984787,22017,1122115,84833876,6116136,10045494,24453944,9600569,7037598,4897761,3728159,4017679
2014-06-18,150.1625,81.9885,124.182,176.3848,116.4459,49.3958,76.0071,116.2986,97.051,91.2681,26.4118,88.1034,55.3609,45.7091,176.4562,44.5374,85.9542,16.8226,49.462,35.2342,39.2621,55.3216,61.5901,151.0649,82.59,124.9562,177.7703,117.4733,49.8267,76.5105,117.2606,97.5166,91.6186,26.7846,88.627,55.8174,45.8112,177.851,45.0084,86.6489,16.9559,49.6336,35.363,39.7788,55.8316,62.1581,149.537,81.3871,123.8275,175.989,116.3698,49.3079,75.7326,116.1044,96.5854,90.6239,26.4118,87.5608,55.3236,45.3191,176.0668,44.4831,85.6676,16.756,49.1008,34.9766,39.2183,55.2475,61.497,150.9488,82.5701,124.9562,177.7073,117.4542,49.8267,76.4464,117.2329,97.4049,91.5524,26.758,88.5032,55.7895,45.6627,177.7468,44.9812,86.5707,16.9263,49.5794,35.3446,39.77,55.8224,62.1116,4732194,2481540,12296,3819185,17437,535859,128959,114315,322926,367401,162801,34514013,6374,2566269,105266767,8043825,14863564,30971524,12209876,13035265,22633415,5374240,5848116
